Tiempo(s)	Caudal(L/s)	Volumen(L)
13.76	0.18150373	2.357846931
13.78	0.171982245	2.354312071
13.8	0.201141792	2.35058083
13.82	0.230301338	2.346266399
13.84	0.26898237	2.341273562
13.86	0.317779978	2.335405939
13.88	0.395737134	2.328270767
13.9	0.443939649	2.319874
13.92	0.463577711	2.310798826
13.94	0.443939649	2.301723652
13.96	0.443939649	2.292844859
13.98	0.463577711	2.283769686
14	0.463577711	2.274498132
14.02	0.454056227	2.265321792
14.04	0.376099072	2.257020239
14.06	0.366577587	2.249593473
14.08	0.414780103	2.241779896
14.1	0.502258743	2.232609507
14.12	0.541534867	2.222171571
14.14	0.560577836	2.211150444
14.16	0.609375444	2.199450911
14.18	0.638534991	2.186971807
14.2	0.658173053	2.174004727
14.22	0.677216022	2.160650836
14.24	0.6873326	2.14700535
14.26	0.677216022	2.133359863
14.28	0.706375569	2.119523947
14.3	0.774811239	2.104712079
14.32	0.862289879	2.088341068
14.34	0.911087488	2.070607295
14.36	0.940247035	2.052093949
14.38	0.949768519	2.033193794
14.4	0.940247035	2.014293638
14.42	0.930130457	1.995589863
14.44	0.949768519	1.976790874
14.46	0.900970911	1.958283479
14.48	0.852768395	1.940746086
14.5	0.784332724	1.924375075
14.52	0.803970786	1.90849204
14.54	0.803970786	1.892412624
14.56	0.794449301	1.876428423
14.58	0.784332724	1.860640603
14.6	0.794449301	1.844852783
14.62	0.794449301	1.828963797
14.64	0.813492271	1.812884381
14.66	0.803970786	1.79670975
14.68	0.833130333	1.780338739
14.7	0.852768395	1.763479752
14.72	0.842651817	1.74652555
14.74	0.813492271	1.729964109
14.76	0.794449301	1.713884693
14.78	0.755173177	1.698388468
14.8	0.696854084	1.683868196
14.82	0.677216022	1.670127495
14.84	0.648056476	1.65687477
14.86	0.638534991	1.644008855
14.88	0.609375444	1.631529751
14.9	0.609375444	1.619342242
14.92	0.629013506	1.606958352
14.94	0.648056476	1.594187653
14.96	0.667694538	1.581030142
14.98	0.667694538	1.567676252
15	0.667694538	1.554322361
15.02	0.677216022	1.540873255
15.04	0.677216022	1.527328935
15.06	0.677216022	1.513784614
15.08	0.696854084	1.500043913
15.1	0.745651693	1.485618856
15.12	0.774811239	1.470414226
15.14	0.813492271	1.454531191
15.16	0.862289879	1.43777337
15.18	0.862289879	1.420527572
15.2	0.852768395	1.403376989
15.22	0.842651817	1.386422787
15.24	0.813492271	1.369861346
15.26	0.784332724	1.353883096
15.28	0.755173177	1.338488037
15.3	0.706375569	1.32387255
15.32	0.667694538	1.310131849
15.34	0.667694538	1.296777958
15.36	0.6873326	1.283227687
15.38	0.735535115	1.26899901
15.4	0.755173177	1.254091927
15.42	0.735535115	1.239184844
15.44	0.735535115	1.224474141
15.46	0.745651693	1.209662273
15.48	0.745651693	1.194749239
15.5	0.745651693	1.179836206
15.52	0.706375569	1.165315933
15.54	0.6873326	1.151378851
15.56	0.677216022	1.137733365
15.58	0.677216022	1.124189045
15.6	0.677216022	1.110644724
15.62	0.696854084	1.096904023
15.64	0.696854084	1.082966941
15.66	0.726013631	1.068738264
15.68	0.755173177	1.053926396
15.7	0.764694662	1.038727718
15.72	0.706375569	1.024017016
15.74	0.629013506	1.010663125
15.76	0.570694413	0.998666046
15.78	0.551056351	0.987448538
15.8	0.531418289	0.976623792
15.82	0.551056351	0.965799045
15.84	0.560577836	0.954682703
15.86	0.570694413	0.943369981
15.88	0.551056351	0.932152473
15.9	0.521896805	0.921422942
15.92	0.492737258	0.911276601
15.94	0.483215773	0.901517071
15.96	0.483215773	0.891852755
15.98	0.521896805	0.881801629
16	0.551056351	0.871072098
16.02	0.551056351	0.860050971
16.04	0.521896805	0.849321439
16.06	0.521896805	0.838883503
16.08	0.51237532	0.828540782
16.1	0.51237532	0.818293275
16.12	0.521896805	0.807950554
16.14	0.502258743	0.797708999
16.16	0.463577711	0.788050634
16.18	0.42489668	0.77916589
16.2	0.366577587	0.771251148
16.22	0.317779978	0.764407572
16.24	0.278503854	0.758444734
16.26	0.26898237	0.752969871
16.28	0.239822823	0.74788182
16.3	0.210663276	0.743376959
16.32	0.201141792	0.739258908
16.34	0.201141792	0.735236072
16.36	0.191025214	0.731314402
16.38	0.152344183	0.727880708
16.4	0.074387028	0.725613396
16.42	-0.022613096	0.725095657
16.44	-0.110091736	0.726422705
16.46	-0.158889345	0.729112516
16.48	-0.188048891	0.732581898
16.5	-0.207686953	0.736539256
16.52	-0.207686953	0.740692996
16.54	-0.197570376	0.744745569
16.56	-0.178527407	0.748506547
16.58	-0.14936786	0.751785499
16.6	-0.120208314	0.754481261
16.62	-0.120208314	0.756885427
16.64	-0.197570376	0.760063214
16.66	-0.382644233	0.76586536
16.68	-0.645080153	0.776142604
16.7	-0.917037557	0.791763781
