Tiempo(s),Fuerza(N)
94.5,23.88495537
94.6,23.0223673
94.7,23.0223673
94.8,23.88495537
94.9,24.53189641
95,23.88495537
95.1,24.10060238
95.2,24.53189641
95.3,23.88495537
95.4,24.10060238
95.5,24.53189641
95.6,24.3162494
95.7,23.88495537
95.8,24.10060238
95.9,24.3162494
96,24.10060238
96.1,24.53189641
96.2,24.53189641
96.3,24.3162494
96.4,24.10060238
96.5,24.3162494
96.6,24.3162494
96.7,24.53189641
96.8,24.74754343
96.9,24.3162494
97,24.3162494
97.1,24.3162494
97.2,24.3162494
97.3,23.88495537
97.4,23.88495537
97.5,24.10060238
97.6,24.10060238
97.7,23.88495537
97.8,23.66930835
97.9,23.88495537
98,23.88495537
98.1,23.88495537
98.2,23.66930835
98.3,24.10060238
98.4,23.88495537
98.5,23.88495537
98.6,23.88495537
98.7,23.88495537
98.8,23.88495537
98.9,23.88495537
99,23.23801432
99.1,22.80672029
99.2,22.80672029
99.3,23.23801432
99.4,23.66930835
99.5,23.66930835
99.6,23.66930835
99.7,23.45366134
99.8,23.45366134
99.9,23.66930835
100,23.66930835
